"","gene_name","x","x.name","y","y.name","comparison","hit_annotation"
"1","SGPL1",-2.25349619048907,"single_ko_vs_wt",-2.34212444987628,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"2","RPL22L1",-2.34023495902804,"single_ko_vs_wt",-0.821984608403746,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"3","PLA2G4A",-1.99659026453189,"single_ko_vs_wt",0.700775120514344,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"4","CRABP2",-1.14947678413295,"single_ko_vs_wt",-1.04088946272767,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"5","NMRAL1",-1.48571636703977,"single_ko_vs_wt",0.0917257140307051,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"6","CPPED1",-1.31745084151316,"single_ko_vs_wt",-0.402521654175988,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"7","OXCT1",-0.875157402873366,"single_ko_vs_wt",-0.738145797355891,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"8","NME4",-0.764673258846273,"single_ko_vs_wt",0.0193929352580575,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"9","MGST1",-1.53062561634292,"single_ko_vs_wt",0.0704944469178592,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"10","CTH",-0.750294163309601,"single_ko_vs_wt",-0.381835222919115,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"11","FLRT3",-0.628194230470861,"single_ko_vs_wt",0.35236738799945,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"12","CA2",-2.03922819466769,"single_ko_vs_wt",1.15976856081793,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"13","TBC1D24",-0.672228330455106,"single_ko_vs_wt",-0.262054279380621,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"14","FAM160B1",0.588123998855014,"single_ko_vs_wt",-0.0336329131208224,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"15","A2M",0.714491971921021,"single_ko_vs_wt",0.0923251159482241,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"16","CRMP1",-0.677062111395962,"single_ko_vs_wt",-0.352774529122264,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"17","GNAO1",0.622488375694907,"single_ko_vs_wt",-0.0555078698433427,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"18","NEBL",-0.788985561678075,"single_ko_vs_wt",-0.332298741649037,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"19","FER",-0.864055777060301,"single_ko_vs_wt",-0.338909130692429,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"20","GAN",0.543559279172243,"single_ko_vs_wt",-0.10053540282216,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"21","SAC3D1",-0.937666473347495,"single_ko_vs_wt",-0.960647922180002,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"22","PRTFDC1",-0.712033220237704,"single_ko_vs_wt",-0.185667571833559,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"23","PTER",-0.561710622470322,"single_ko_vs_wt",-0.0383372689400936,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"24","CYBA",0.965151490648235,"single_ko_vs_wt",-0.672423236175508,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"25","NEFM",1.00428718929642,"single_ko_vs_wt",-0.915108474160938,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"26","RTKN",-0.55391183333283,"single_ko_vs_wt",0.240276107181121,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"27","LGALS3BP",0.81257678772204,"single_ko_vs_wt",-0.291029508495157,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"28","NAPRT",0.820181460095547,"single_ko_vs_wt",-1.27722050453398,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"29","ALDH1L2",-0.620777532968038,"single_ko_vs_wt",-0.431954843412278,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"30","SERPINB1",-0.590370546307536,"single_ko_vs_wt",-0.0571323798560428,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"31","EEF1A2",-0.68414635369135,"single_ko_vs_wt",-0.341503604672521,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"32","CASP8",-0.573904916180037,"single_ko_vs_wt",-0.260660944240293,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"33","PMM2",-0.553883915106216,"single_ko_vs_wt",-0.082143018330072,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"34","EMP2",-0.554733024858443,"single_ko_vs_wt",0.0114134746920698,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"35","ATL3",-0.52493262222778,"single_ko_vs_wt",0.13669510230222,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"36","LDHC",-0.600979121467507,"single_ko_vs_wt",0.126736291016151,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"37","MYEF2",-0.49635880012033,"single_ko_vs_wt",-0.377497542208573,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"38","RAB32",-1.12013228608038,"single_ko_vs_wt",0.259294543304907,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"39","ZMYM3",-0.556155860408577,"single_ko_vs_wt",-0.0972244727346734,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"40","MAOA",0.648547315600492,"single_ko_vs_wt",-0.318185273355923,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"41","NAP1L4",-0.491828149573358,"single_ko_vs_wt",0.000624544829573637,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"42","FAM129A",-0.80621480365701,"single_ko_vs_wt",-0.60094385853462,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"43","NES",-0.45527785563052,"single_ko_vs_wt",0.212248303106122,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"44","FADS2",-0.794855547392967,"single_ko_vs_wt",-0.0163094864954445,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"45","FABP5",-0.439163965093407,"single_ko_vs_wt",0.191621840753012,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"46","GFM1",-0.48584126103642,"single_ko_vs_wt",0.129413138460471,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"47","ACAD11",-0.657553605950159,"single_ko_vs_wt",-0.245041634400938,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"48","MCAM",-0.433772188258896,"single_ko_vs_wt",0.143374450783426,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"49","PARVA",-0.477738645484049,"single_ko_vs_wt",-0.0537014544696888,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"50","FKBP10",-0.583678285281657,"single_ko_vs_wt",0.305697180744019,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"51","FAM84B",0.568445282866069,"single_ko_vs_wt",-0.159893029333897,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"52","TXNDC11",-0.503189657552099,"single_ko_vs_wt",0.0957400990241908,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"53","TES",-0.433230656933556,"single_ko_vs_wt",-0.0688982378650138,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"54","NQO1",1.06737725746714,"single_ko_vs_wt",-0.738681481038817,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","hit"
"55","ARHGAP17",-0.430496758037219,"single_ko_vs_wt",0.0528546504596079,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"56","HMOX2",-0.568891704702263,"single_ko_vs_wt",0.148874814507018,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"57","NSUN6",-0.515066877379663,"single_ko_vs_wt",0.257484250794942,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"58","CFDP1",0.389566497424763,"single_ko_vs_wt",0.053396748952558,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"59","PGM3",-0.403885881673219,"single_ko_vs_wt",-0.207288981411132,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"60","LYN",0.421933608274365,"single_ko_vs_wt",-0.000708975618298524,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"61","SLC12A4",0.509829565096606,"single_ko_vs_wt",0.573251583423136,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"62","PC",-0.472547118716943,"single_ko_vs_wt",-0.100336578723063,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"63","GOLIM4",-0.568858103184787,"single_ko_vs_wt",-0.152704138492695,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"64","FAM195A",-0.764083805976487,"single_ko_vs_wt",-0.145405848626648,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
