protein_ids	12500amol_r1	12500amol_r2	12500amol_r3	125amol_r1	125amol_r2	125amol_r3	25000amol_r1	25000amol_r2	25000amol_r3	2500amol_r1	2500amol_r2	2500amol_r3	250amol_r1	250amol_r2	250amol_r3	50000amol_r1	50000amol_r2	50000amol_r3	5000amol_r1	5000amol_r2	5000amol_r3	500amol_r1	500amol_r2	500amol_r3	50amol_r1	50amol_r2	50amol_r3
CON__P02070;CON__Q3SX09;P68871ups|HBB_HUMAN_UPS	76366000	82821000	76699000	0	0	0	155260000	147610000	146740000	7265100	8617900	1924400	0	0	0	335590000	334170000	350760000	15575000	22521000	22201000	0	0	968650	0	0	0
CON__P02768-1;CON__P02769;P02768ups|ALBU_HUMAN_UPS	251820000	262580000	267560000	372680	689650	309990	522880000	514820000	525210000	25125000	26917000	14372000	549760	1036000	1143000	1186900000	1229300000	1224600000	72907000	95699000	99813000	1039900	288940	693010	824850	290210	213130
CON__P34955;sp|P17255|VATA_YEAST	566670000	544580000	561610000	570040000	562610000	577510000	555250000	584040000	595540000	575060000	560420000	555070000	564390000	547170000	550180000	531870000	547890000	527250000	572570000	586170000	572170000	559870000	569660000	568510000	580250000	578290000	551180000
CON__P41361;P01008ups|ANT3_HUMAN_UPS	93044000	92777000	98505000	0	0	0	162080000	143690000	159390000	14509000	15219000	14027000	0	0	0	468070000	495990000	499490000	25548000	25886000	37483000	0	1317600	0	0	0	0
CON__P62894;P99999ups|CYC_HUMAN_UPS	20226000	20626000	20012000	0	2816600	0	57818000	50562000	56953000	3489600	2794700	2613800	0	1010600	1754100	111440000	82315000	95848000	5259700	4877400	4761800	1543300	452140	0	0	0	0
CON__Q3SX14;P06396ups|GELS_HUMAN_UPS	104720000	124340000	108270000	0	936680	0	448230000	443950000	465440000	16527000	20178000	20474000	0	0	0	1012300000	637720000	647540000	50213000	49089000	46689000	0	4452000	0	1994400	728100	2096900
O00762ups|UBE2C_HUMAN_UPS	129780000	94228000	93031000	0	1350000	831970	281870000	236050000	266830000	17466000	10145000	11627000	1270600	908480	0	524290000	517600000	535630000	42885000	41389000	38285000	2918600	0	0	3318300	853930	0
O76070ups|SYUG_HUMAN_UPS	38548000	41057000	42228000	0	0	1150600	149170000	166670000	149620000	15169000	3373600	5508300	0	0	1235400	445640000	468490000	476140000	25370000	16398000	17765000	459000	3235000	2092600	0	684380	0
P00167ups|CYB5_HUMAN_UPS	49292000	49197000	46522000	0	0	0	89269000	108950000	103680000	9465800	8959200	8861300	0	0	0	245810000	256100000	259960000	25410000	17510000	24246000	0	0	0	683480	0	0
P00441ups|SODC_HUMAN_UPS	25840000	23743000	23805000	1886600	2133800	1951400	40740000	39452000	37411000	6951400	1632600	0	1879400	6240500	1802400	74011000	174980000	167590000	14022000	12608000	11082000	10511000	5797600	0	1873600	2375200	3155900
P00709ups|LALBA_HUMAN_UPS	41291000	38765000	40777000	0	0	0	74882000	72897000	76886000	5908400	1878700	5870700	0	0	0	154890000	155490000	145020000	12493000	12712000	11542000	0	0	0	0	0	0
P00915ups|CAH1_HUMAN_UPS	41412000	44300000	37418000	32192000	27547000	27336000	106380000	75553000	87295000	3672200	5009900	5864400	28440000	34275000	27486000	220320000	228380000	227810000	9670300	9028000	9411900	34372000	774720	30293000	0	369100	26793000
P00918ups|CAH2_HUMAN_UPS	88079000	61231000	88722000	0	0	0	163790000	172690000	182070000	7087500	10372000	5996300	0	0	0	344220000	346130000	330190000	25614000	22917000	21194000	0	0	0	0	329870	0
P01031ups|CO5_HUMAN_UPS	7796400	7882300	8773200	0	0	0	21831000	24439000	12583000	3584500	2916700	2876200	0	0	0	98925000	120790000	121280000	4630100	4993200	5923100	0	0	0	3764700	0	0
P01112ups|RASH_HUMAN_UPS	36458000	36841000	41069000	0	0	0	66067000	85582000	68556000	7056900	7845700	0	0	0	0	161120000	191440000	150250000	15951000	13619000	15243000	0	0	0	0	0	0
P01127ups|PDGFB_HUMAN_UPS	20344000	21958000	23329000	0	0	0	51022000	61267000	49236000	0	1477300	1053400	3460700	0	0	190520000	161630000	173870000	8818100	6003100	7617300	0	0	0	0	0	0
P01133ups|EGF_HUMAN_UPS	9598500	9674500	8719500	0	0	0	19022000	20505000	16025000	1566000	1608700	1930800	0	0	0	34920000	39653000	36731000	3072300	3111900	2499300	0	0	0	0	0	0
P01344ups|IGF2_HUMAN_UPS	66771000	59583000	64936000	0	0	0	115500000	115730000	116680000	18453000	16478000	15943000	0	0	0	206900000	210310000	217330000	28342000	31145000	30780000	0	0	0	0	0	0
P01375ups|TNFA_HUMAN_UPS	97380000	102470000	99144000	0	0	0	187380000	171320000	188510000	18245000	19427000	15390000	0	0	0	359800000	368860000	371180000	43321000	43898000	48265000	0	0	0	0	0	0
P01579ups|IFNG_HUMAN_UPS	40267000	41561000	47014000	0	0	0	80348000	95342000	79712000	10387000	9014200	7691200	0	0	0	206130000	213100000	223290000	22578000	19935000	19957000	0	0	0	0	0	0
P02144ups|MYG_HUMAN_UPS	27252000	33839000	31394000	0	388420	1055100	68791000	64230000	75805000	5420400	5273600	3294000	0	0	0	228880000	229500000	233240000	13120000	12780000	10685000	0	0	1216300	0	0	0
P02741ups|CRP_HUMAN_UPS	15577000	14401000	16526000	0	0	0	37839000	69768000	61260000	5143600	0	0	0	0	0	112850000	94777000	83858000	8078800	6318400	9571400	0	0	0	0	0	0
P02753ups|RETBP_HUMAN_UPS	27624000	29251000	31489000	0	0	0	50013000	41898000	39613000	0	0	0	0	0	0	87596000	86244000	90530000	13920000	0	11329000	0	0	0	0	0	0
P02787ups|TRFE_HUMAN_UPS	153400000	160420000	141210000	0	0	0	278120000	288080000	293110000	11155000	14002000	14227000	0	0	0	622980000	617590000	629150000	29217000	38407000	39167000	1031600	0	655440	0	0	0
P02788ups|TRFL_HUMAN_UPS	247230000	246140000	188570000	846170	524060	0	464450000	800260000	444600000	41932000	31869000	36517000	0	0	0	1632200000	1695500000	942780000	77739000	82147000	86315000	0	1381300	2800700	0	0	0
P04040ups|CATA_HUMAN_UPS	241020000	180700000	242550000	0	0	0	459630000	336540000	465340000	17728000	25281000	23820000	0	0	0	997010000	984360000	1055500000	58856000	62076000	68089000	599340	1223000	0	0	0	0
P05413ups|FABPH_HUMAN_UPS	44071000	40704000	40601000	0	0	0	89884000	85317000	73657000	8056900	6737600	6508600	0	0	0	206570000	205450000	203680000	18454000	15924000	21024000	0	0	1470000	0	0	0
P06732ups|KCRM_HUMAN_UPS	59839000	74014000	125960000	288450	232940	0	288830000	250600000	199290000	8097200	8668500	9180500	0	0	0	638380000	636300000	627150000	18080000	22248000	21109000	630160	0	0	0	0	31111
P08263ups|GSTA1_HUMAN_UPS	34365000	36138000	43953000	29828000	30069000	29413000	86089000	85529000	65221000	10231000	8822900	10437000	27912000	26723000	27638000	58187000	63983000	179360000	10067000	17197000	14736000	26933000	4962700	25957000	0	0	20685000
P08758ups|ANXA5_HUMAN_UPS	91900000	103230000	102650000	0	1131400	0	189260000	131260000	193190000	8944000	11309000	10031000	747700	0	971500	736980000	681030000	767300000	19351000	32470000	22081000	1805100	1283200	0	0	0	0
P09211ups|GSTP1_HUMAN_UPS	24523000	29543000	23979000	0	0	0	42686000	46329000	44940000	3646100	6013800	0	0	0	0	115390000	98421000	119010000	7522400	9203300	7811900	0	0	0	0	2077800	0
P10145ups|IL8_HUMAN_UPS	16872000	18093000	17010000	0	0	0	25754000	23844000	34633000	3431600	0	2478200	0	0	0	79299000	84226000	98927000	0	3823400	5170600	0	0	0	0	0	0
P10599ups|THIO_HUMAN_UPS	16537000	17481000	19309000	0	6958500	0	29792000	31924000	32031000	0	3660500	2661800	5012500	0	0	63276000	69950000	61651000	5428500	4484200	4708700	0	0	6937600	0	0	0
P10636-8ups|TAU_HUMAN_UPS	141620000	184290000	181830000	0	0	7281800	350000000	502780000	500710000	28852000	23059000	22470000	1720100	0	0	743290000	880020000	760490000	60616000	69434000	51835000	631840	0	3500900	0	0	0
P12081ups|SYHC_HUMAN_UPS	124530000	117360000	118780000	8860400	10231000	7744700	262480000	283610000	239910000	19164000	18253000	18530000	9451000	13065000	9529900	672940000	665600000	675670000	35132000	40303000	43075000	11084000	12592000	11808000	0	4646500	0
P15559ups|NQO1_HUMAN_UPS	50006000	52656000	46706000	0	0	0	94174000	93340000	103850000	12295000	12469000	6732700	0	0	0	214740000	202830000	209290000	23854000	20601000	25610000	0	0	0	0	0	0
