condition	replicate
12500amol	12500amol_r1
12500amol	12500amol_r2
12500amol	12500amol_r3
125amol	125amol_r1
125amol	125amol_r2
125amol	125amol_r3
25000amol	25000amol_r1
25000amol	25000amol_r2
25000amol	25000amol_r3
2500amol	2500amol_r1
2500amol	2500amol_r2
2500amol	2500amol_r3
250amol	250amol_r1
250amol	250amol_r2
250amol	250amol_r3
50000amol	50000amol_r1
50000amol	50000amol_r2
50000amol	50000amol_r3
5000amol	5000amol_r1
5000amol	5000amol_r2
5000amol	5000amol_r3
500amol	500amol_r1
500amol	500amol_r2
500amol	500amol_r3
50amol	50amol_r1
50amol	50amol_r2
50amol	50amol_r3
